Abert's Towhee,ABTO,Melozone aberti,MELABE
Cattle Egret,CAEG,Bubulcus ibis,BUBIBI
Cattle Tyrant,CATY,Machetornis rixosa,MACRIX
Cave Swallow,CASW,Petrochelidon fulva,PETFUL
Cedar Waxwing,CEDW*,Bombycilla cedrorum,BOMCED
Central American Pygmy-Owl,CAPO,Glaucidium griseiceps,GLAGRI
Cerulean Warbler,CERW*,Setophaga cerulea,SETCER
Chapman's Swift,CHAS*,Chaetura chapmani,CHACHA
Charming Hummingbird,CHHU,Amazilia decora,AMADEC
Chatham Albatross,CHAL,Thalassarche eremita,THAERE
Checker-throated Antwren,CTAN,Epinecrophylla fulviventris,EPIFUL
Cherrie's Tanager,CHET*,Ramphocelus costaricensis,RAMCOS
Chestnut Munia,CHMU,Lonchura atricapilla,LONATR
Chestnut-backed Antbird,CBAN,Myrmeciza exsul,MYREXS
Chestnut-backed Chickadee,CBCH,Poecile rufescens,POERUF
Chestnut-bellied Cuckoo,CBCU,Coccyzus pluvialis,COCPLU
Chestnut-bellied Sandgrouse,CBSA,Pterocles exustus,PTEEXU
Chestnut-capped Brushfinch,CCBR,Arremon brunneinucha,ARRBRU
Chestnut-collared Longspur,CCLO,Calcarius ornatus,CALORN
Chestnut-collared Swift,CCSW,Streptoprocne rutila,STRRUT
Chestnut-colored Woodpecker,CCOW*,Celeus castaneus,CELCAS
Chestnut-fronted Macaw,CFMA,Ara severus,ARASEV
Chestnut-headed Oropendola,CHOR,Psarocolius wagleri,PSAWAG
Chestnut-sided Shrike-Vireo,CSSV,Vireolanius melitophrys,VIRMEL
Chestnut-sided Warbler,CSWA,Setophaga pensylvanica,SETPEN
Chihuahuan Raven,CHRA,Corvus cryptoleucus,CORCRY
Chimney Swift,CHSW,Chaetura pelagica,CHAPEL
Chinese Egret,CHEG,Egretta eulophotes,EGREUL
Chinese Pond-Heron,CHPH,Ardeola bacchus,ARDBAC
Chinese Sparrowhawk,CHIS*,Accipiter soloensis,ACCSOL
Chipping Sparrow,CHSP,Spizella passerina,SPIPAS
Chiriqui Quail-Dove,CHQD,Zentrygon chiriquensis,ZENCHI
Choco Sirystes,CHSI,Sirystes albogriseus,SIRALB
Choco Tapaculo,CHOT*,Scytalopus chocoensis,SCYCHO
Choco Tinamou,CHTI,Crypturellus kerriae,CRYKER
Christmas Shearwater,CHSH,Puffinus nativitatis,PUFNAT
Chuck-will's-widow,CWWI,Antrostomus carolinensis,ANTCAR
Chukar,CHUK,Alectoris chukar,ALECHU
Cinereous Becard,CIRB*,Pachyramphus rufus,PACRUF
Cinnamon Becard,CIMB*,Pachyramphus cinnamomeus,PACCIN
Cinnamon Hummingbird,CIHU,Amazilia rutila,AMARUT
Cinnamon Teal,CITE,Spatula cyanoptera,SPACYA
Cinnamon Woodpecker,CIWO,Celeus loricatus,CELLOR
Cinnamon-bellied Flowerpiercer,CBFL,Diglossa baritula,DIGBAR
Cinnamon-tailed Sparrow,CTSP,Peucaea sumichrasti,PEUSUM
Citreoline Trogon,CITR,Trogon citreolus,TROCIT
Citrine Wagtail,CIWA,Motacilla citreola,MOTCIT
Clapper Rail,CLRA,Rallus crepitans,RALCRE
Clarion Wren,CLWR,Troglodytes tanneri,TROTAN
Clark's Grebe,CLGR,Aechmophorus clarkii,AECCLA
Clark's Nutcracker,CLNU,Nucifraga columbiana,NUCCOL
Clay-colored Sparrow,CCSP,Spizella pallida,SPIPAL
Clay-colored Thrush,CCTH,Turdus grayi,TURGRA
Cliff Swallow,CLSW,Petrochelidon pyrrhonota,PETPYR
Cocoa Thrush,COCT*,Turdus fumigatus,TURFUM
Cocoa Woodcreeper,COWO,Xiphorhynchus susurrans,XIPSUS
Cocoi Heron,COHE,Ardea cocoi,ARDCOC
Cocos Cuckoo,COCC*,Coccyzus ferrugineus,COCFER
Cocos Finch,COFI,Pinaroloxias inornata,PININO
Cocos Flycatcher,COCF*,Nesotriccus ridgwayi,NESRID
Coiba Spinetail,COSP,Cranioleuca dissita,CRADIS
Colima Pygmy-Owl,CPYO*,Glaucidium palmarum,GLAPAL
Colima Warbler,COLW*,Oreothlypis crissalis,ORECRI
Collared Aracari,COAR,Pteroglossus torquatus,PTETOR
Collared Forest-Falcon,COFF,Micrastur semitorquatus,MICSEM
Collared Plover,COPL,Charadrius collaris,CHACOL
Collared Pratincole,COPR,Glareola pratincola,GLAPRA
Collared Redstart,COLR*,Myioborus torquatus,MYITOR
Collared Towhee,COTO,Pipilo ocai,PIPOCA
Collared Trogon,COTR,Trogon collaris,TROCOL
Colombian Crake,COLC*,Neocrex colombiana,NEOCOL
Comb Duck,CODU,Sarkidiornis melanotos,SARMEL
Common Black Hawk,COBH*,Buteogallus anthracinus,BUTANT
Common Chaffinch,CCHA*,Fringilla coelebs,FRICOE
Common Chiffchaff,CCHI*,Phylloscopus collybita,PHYCOL
Common Chlorospingus,COCL*,Chlorospingus flavopectus,CHLFLP*
Common Crane,CCRA*,Grus grus,GRUGRU
Common Cuckoo,COCU,Cuculus canorus,CUCCAN
Common Eider,COEI,Somateria mollissima,SOMMOL
Common Gallinule,COGA,Gallinula galeata,GALGAT*
Common Goldeneye,COGO,Bucephala clangula,BUCCLA
Common Grackle,COGR,Quiscalus quiscula,QUIQUI
Common Greenshank,COMG*,Tringa nebularia,TRINEB
Common Ground-Dove,COGD,Columbina passerina,COLPAS
Common House-Martin,COHM,Delichon urbicum,DELURB
Common Loon,COLO,Gavia immer,GAVIMM
Common Merganser,COME,Mergus merganser,MERMER
Common Moorhen,COMO,Gallinula chloropus,GALCHL
Common Murre,COMU,Uria aalge,URIAAL
Common Myna,COMY,Acridotheres tristis,ACRTRI
Common Nighthawk,CONI,Chordeiles minor,CHOMIN
Common Pauraque,COPA,Nyctidromus albicollis,NYCALB
Common Pochard,COMP*,Aythya ferina,AYTFER
Common Poorwill,COPO,Phalaenoptilus nuttallii,PHANUT
Common Potoo,CPOT*,Nyctibius griseus,NYCGRI
Common Raven,CORA,Corvus corax,CORCOX*
Common Redpoll,CORE,Acanthis flammea,ACAFLA
Common Redshank,CREH*,Tringa totanus,TRITOT
Common Redstart,CRET*,Phoenicurus phoenicurus,PHOPHO
Common Ringed Plover,CRPL,Charadrius hiaticula,CHAHIA
Common Rosefinch,CORO,Carpodacus erythrinus,CARERY
Common Sandpiper,COSA,Actitis hypoleucos,ACTHYP
Common Scoter,COSC,Melanitta nigra,MENNIG
Common Snipe,COSN,Gallinago gallinago,GALGAN*
Common Swift,COSW,Apus apus,APUAPU
Common Tern,COTE,Sterna hirundo,STEHIR
Common Tody-Flycatcher,COTF,Todirostrum cinereum,TODCIN
Common Waxbill,COMW*,Estrilda astrild,ESTAST
Common Yellowthroat,COYE,Geothlypis trichas,GEOTRI
Common/Hoary Redpoll,CHRE,Acanthis flamm./hornemanni,ACAFLH
Connecticut Warbler,CONW*,Oporornis agilis,OPOAGI
Cook's Petrel,COPE,Pterodroma cookii,PTECOO
Cooper's Hawk,COHA,Accipiter cooperii,ACCCOO
Coppery-headed Emerald,CHEM,Elvira cupreiceps,ELVCUP
Cordilleran Flycatcher,COFL,Empidonax occidentalis,EMPOCC
Corn Crake,CORC*,Crex crex,CRECRE
Cory's Shearwater,COSH,Calonectris diomedea,CALDIO
Costa Rican Brushfinch,CRBR,Arremon costaricensis,ARRCOS
Costa Rican Pygmy-Owl,CRPO,Glaucidium costaricanum,GLACOS
Costa Rican Swift,CRSW,Chaetura fumosa,CHAFUM
Costa Rican Warbler,CRWA,Basileuterus melanotis,BASMET*
Costa's Hummingbird,COHU,Calypte costae,CALCOS
Couch's Kingbird,COKI,Tyrannus couchii,TYRCOU
Cozumel Emerald,COEM,Chlorostilbon forficatus,CHLFOR
Cozumel Thrasher,COZT*,Toxostoma guttatum,TOXGUT
Cozumel Vireo,COVI,Vireo bairdi,VIRBAI
Crane Hawk,CRHA,Geranospiza caerulescens,GERCAE
Craveri's Murrelet,CRMU,Synthliboramphus craveri,SYNCRA
Crescent-chested Warbler,CCWA,Oreothlypis superciliosa,ORESUP
Crested Auklet,CRAU,Aethia cristatella,AETCRI
Crested Bobwhite,CRBO,Colinus cristatus,COLCRI
Crested Caracara,CRCA,Caracara cheriway,CARCHE
Crested Eagle,CREA,Morphnus guianensis,MORGUI
Crested Guan,CRGU,Penelope purpurascens,PENPUR
Crested Oropendola,CROR,Psarocolius decumanus,PSADEC
Crested Owl,CROW,Lophostrix cristata,LOPCRI
Crested Quail-Dove,CRQD,Geotrygon versicolor,GEOVER
Crimson-backed Tanager,CBTA,Ramphocelus dimidiatus,RAMDIM
Crimson-bellied Woodpecker,CBWO,Campephilus haematogaster,CAMHAE
Crimson-collared Grosbeak,CCGR,Rhodothraupis celaeno,RHOCEL
Crimson-collared Tanager,CCTA,Ramphocelus sanguinolentus,RAMSAN
Crimson-crested Woodpecker,CCRW*,Campephilus melanoleucos,CAMMEL
Crimson-fronted Parakeet,CFPA,Psittacara finschi,PSIFIN
Crissal Thrasher,CRTH,Toxostoma crissale,TOXCRI
Crowned Slaty Flycatcher,CSFL,Empidonomus aurantioatrocristatus,EMPAUR
Crowned Woodnymph,CRWO,Thalurania colombica,THACOL
Cuban Black Hawk,CUBH*,Buteogallus gundlachii,BUTGUN
Cuban Blackbird,CUBL,Ptiloxena atroviolacea,PTIATR
Cuban Bullfinch,CUBU,Melopyrrha nigra,MEPNIG*
Cuban Crow,CUCR,Corvus nasicus,CORNAS
Cuban Emerald,CUEM,Chlorostilbon ricordii,CHLRIC
Cuban Gnatcatcher,CUGN,Polioptila lembeyei,POLLEM
Cuban Grassquit,CUGR,Tiaris canorus,TIACAN
Cuban Green Woodpecker,CGWO,Xiphidiopicus percussus,XIPPER
Cuban Macaw,CUBM*,Ara tricolor,ARATRI
Cuban Martin,CUMA,Progne cryptoleuca,PROCRY
Cuban Oriole,CUOR,Icterus melanopsis,ICTMEL
Cuban Parakeet,CPAK*,Psittacara euops,PSIEUO
Cuban Parrot,CPAT*,Amazona leucocephala,AMALEU
Cuban Pewee,CUPE,Contopus caribaeus,CONCAB*
Cuban Pygmy-Owl,CUPO,Glaucidium siju,GLASIJ
Cuban Solitaire,CUSO,Myadestes elisabeth,MYAELI
Cuban Tody,CUTO,Todus multicolor,TODMUL
Cuban Trogon,CUTR,Priotelus temnurus,PRITEM
Cuban Vireo,CUVI,Vireo gundlachii,VIRGUN
Curlew Sandpiper,CUSA,Calidris ferruginea,CALFER
Curve-billed Thrasher,CBTH,Toxostoma curvirostre,TOXCUR
Dark Pewee,DAPE,Contopus lugubris,CONLUG
Dark-billed Cuckoo,DBCU,Coccyzus melacoryphus,COCMEL
Dark-eyed Junco,DEJU,Junco hyemalis,JUNHYE
Dark-sided Flycatcher,DSFL,Muscicapa sibirica,MUSSIB
Dickcissel,DICK,Spiza americana,SPIAME
Dot-winged Antwren,DWAN,Microrhopias quixensis,MICQUI
Double-banded Graytail,DBGR,Xenerpestes minlosi,XENMIL*
Double-crested Cormorant,DCCO,Phalacrocorax auritus,PHAAUT*
Double-striped Thick-knee,DSTK,Burhinus bistriatus,BURBIS
Double-toothed Kite,DTKI,Harpagus bidentatus,HARBID
Dovekie,DOVE,Alle alle,ALLALL
Downy Woodpecker,DOWO,Picoides pubescens,PICPUB
Dull-mantled Antbird,DMAN,Myrmeciza laemosticta,MYRLAE
Dunlin,DUNL,Calidris alpina,CALALP
Dusky Antbird,DUAN,Cercomacroides tyrannina,CERTYR
Dusky Flycatcher,DUFL,Empidonax oberholseri,EMPOBE
Dusky Grouse,DUGR,Dendragapus obscurus,DENOBS
Dusky Hummingbird,DUHU,Cynanthus sordidus,CYNSOR
Dusky Nightjar,DUNI,Antrostomus saturatus,ANTSAT
Dusky Pigeon,DUPI,Patagioenas goodsoni,PATGOO
Dusky Seaside-Sparrow,DUSS,Ammodramus m. nigrescens,AMMMNI
Dusky Thrush,DUTH,Turdus naumanni,TURNAU
Dusky Warbler,DUWA,Phylloscopus fuscatus,PHYFUS
Dusky-backed Jacamar,DBJA,Brachygalba salmoni,BRASAL
Dusky-capped Flycatcher,DCFL,Myiarchus tuberculifer,MYITUB
Dusky-faced Tanager,DFTA,Mitrospingus cassinii,MITCAS
Dwarf Jay,DWJA,Cyanolyca nana,CYANAN
Dwarf Vireo,DWVI,Vireo nelsoni,VIRNEL
Eared Dove,EADO,Zenaida auriculata,ZENAUC*
Eared Grebe,EAGR,Podiceps nigricollis,PODNIG
Eared Poorwill,EAPO,Nyctiphrynus mcleodii,NYCMCL
Eared Quetzal,EAQU,Euptilotis neoxenus,EUPNEO
Eastern Bluebird,EABL,Sialia sialis,SIASIA
Eastern Chat-Tanager,EACT,Calyptophilus frugivorus,CALFRU
Eastern Kingbird,EAKI,Tyrannus tyrannus,TYRTYR
Eastern Meadowlark,EAME,Sturnella magna,STUMAG
Eastern Phoebe,EAPH,Sayornis phoebe,SAYPHO
Eastern Screech-Owl,EASO,Megascops asio,MEGASI
Eastern Spot-billed Duck,ESBD,Anas zonorhyncha,ANAZON
Eastern Towhee,EATO,Pipilo erythrophthalmus,PIPERY
Eastern Whip-poor-will,EWPW,Antrostomus vociferus,ANTVOC
Eastern White-crowned Sparrow,EWCS,Zonotrichia l. leucophrys,ZONLLE
Eastern Wood-Pewee,EAWP,Contopus virens,CONVIR
Eastern Yellow Wagtail,EYWA,Motacilla tschutschensis,MOTTSC
Egyptian Goose,EGGO,Alopochen aegyptiaca,ALOAEG
Elegant Euphonia,ELEU,Euphonia elegantissima,EUPELE
Elegant Quail,ELQU,Callipepla douglasii,CALDOU
Elegant Tern,ELTE,Thalasseus elegans,THAELE
Elegant Trogon,ELTR,Trogon elegans,TROELE
Elf Owl,ELOW,Micrathene whitneyi,MICWHI
Elfin-woods Warbler,EWWA,Setophaga angelae,SETANG
Emerald Tanager,EMTA,Tangara florida,TANFLO
Emerald-chinned Hummingbird,ECHU,Abeillia abeillei,ABEABE
Emperor Goose,EMGO,Anser canagicus,ANSCAN
Erckel's Francolin,ERFR,Francolinus erckelii,FRAERC
Eskimo Curlew,ESCU,Numenius borealis,NUMBOR
Euler's Flycatcher,EUFL,Lathrotriccus euleri,LATEUL
Eurasian Blackbird,EUBB*,Turdus merula,TURMER
Eurasian Blackcap,EUBC*,Sylvia atricapilla,SYLATR
Eurasian Bullfinch,EUBU,Pyrrhula pyrrhula,PYRPYH*
Eurasian Collared-Dove,EUCD,Streptopelia decaocto,STRDEC
Eurasian Coot,EUCO,Fulica atra,FULATR
Eurasian Curlew,EUCU,Numenius arquata,NUMARQ
Eurasian Dotterel,EUDO,Charadrius morinellus,CHAMOR
Eurasian Green-winged Teal,EGWT,Anas c. crecca,ANACCR
Eurasian Hobby,EHOB*,Falco subbuteo,FALSUB
Eurasian Hoopoe,EHOO*,Upupa epops,UPUEPO
Eurasian Jackdaw,EUJA,Corvus monedula,CORMON
Eurasian Kestrel,EUKE,Falco tinnunculus,FALTIN
Eurasian Oystercatcher,EUOY,Haematopus ostralegus,HAEOST
Eurasian Siskin,EUSI,Spinus spinus,SPISPI
Eurasian Skylark,EUSK,Alauda arvensis,ALAARV
Eurasian Spoonbill,EURS*,Platalea leucorodia,PLALEU
Eurasian Tree Sparrow,ETSP,Passer montanus,PASMON
Eurasian Wigeon,EUWI,Mareca penelope,MARPEN
Eurasian Woodcock,EUWO,Scolopax rusticola,SCORUS
Eurasian Wryneck,EUWR,Jynx torquilla,JYNTOR
European Golden-Plover,EUGP,Pluvialis apricaria,PLUAPR
European Goldfinch,EUGO,Carduelis carduelis,CARCAU*
European Starling,EUST,Sturnus vulgaris,STUVUL
European Storm-Petrel,EUSP,Hydrobates pelagicus,HYDPEL
European Turtle-Dove,EUTD,Streptopelia turtur,STRTUR
Evening Grosbeak,EVGR,Coccothraustes vespertinus,COCVES
Eyebrowed Thrush,EYTH,Turdus obscurus,TUROBC*
Eye-ringed Flatbill,ERFL,Rhynchocyclus brevirostris,RHYBRE
Falcated Duck,FADU,Mareca falcata,MARFAL
Fan-tailed Warbler,FTWA,Basileuterus lachrymosus,BASLAC
Far Eastern Curlew,FECU,Numenius madagascariensis,NUMMAD
Fasciated Antshrike,FAAN,Cymbilaimus lineatus,CYMLIN
Fasciated Tiger-Heron,FTHE,Tigrisoma fasciatum,TIGFAS
Fea's Petrel,FEPE,Pterodroma feae,PTEFEA
Fernandina's Flicker,FEFL,Colaptes fernandinae,COLFER
Ferruginous Hawk,FEHA,Buteo regalis,BUTREG
Ferruginous Pygmy-Owl,FEPO,Glaucidium brasilianum,GLABRA
Field Sparrow,FISP,Spizella pusilla,SPIPUS
Fieldfare,FIEL,Turdus pilaris,TURPIL
Fiery-billed Aracari,FBAR,Pteroglossus frantzii,PTEFRA
Fiery-throated Hummingbird,FTHU,Panterpe insignis,PANINS
Fish Crow,FICR,Corvus ossifragus,COROSS
Five-striped Sparrow,FSSP,Amphispiza quinquestriata,AMPQUI
Flame-colored Tanager,FCTA,Piranga bidentata,PIRBID
Flame-rumped Tanager,FRTA,Ramphocelus flammigerus,RAMFLA
Flame-throated Warbler,FTHW*,Oreothlypis gutturalis,OREGUT
Flammulated Flycatcher,FLFL,Deltarhynchus flammulatus,DELFLA
Flammulated Owl,FLOW,Psiloscops flammeolus,PSIFLA
Flat-billed Vireo,FBVI,Vireo nanus,VIRNAN
Flesh-footed Shearwater,FFSH,Ardenna carneipes,ARDCAR
Florida Grasshopper Sparrow,FGSP,Ammodramus s. floridanus,AMMSFL
Florida Scrub-Jay,FLSJ,Aphelocoma coerulescens,APHCOE
Forest Elaenia,FOEL,Myiopagis gaimardii,MYIGAI
Forest Thrush,FOTH,Turdus lherminieri,TURLHE
Fork-tailed Flycatcher,FTFL,Tyrannus savana,TYRSAV
Fork-tailed Storm-Petrel,FTSP,Oceanodroma furcata,OCEFUR
Fork-tailed Swift,FTSW,Apus pacificus,APUPAC
Forster's Tern,FOTE,Sterna forsteri,STEFOR
Fox Sparrow,FOSP,Passerella iliaca,PASILI
Franklin's Gull,FRGU,Leucophaeus pipixcan,LEUPIP
Fulvous Owl,FUOW,Strix fulvescens,STRFUL
Fulvous Whistling-Duck,FUWD,Dendrocygna bicolor,DENBIC
Fulvous-vented Euphonia,FVEU,Euphonia fulvicrissa,EUPFUL
Gadwall,GADW,Mareca strepera,MARSTR
Galapagos Petrel,GAPE,Pterodroma phaeopygia,PTEPHA
Galapagos Shearwater,GASH,Puffinus subalaris,PUFSUB
Gambel's Quail,GAQU,Callipepla gambelii,CALGAM
Gambel's White-crowned Sparrow,GWCS,Zonotrichia l. gambelii,ZONLGA
Garden Emerald,GAEM,Chlorostilbon assimilis,CHLASS
Garganey,GARG,Spatula querquedula,SPAQUE
Garnet-throated Hummingbird,GATH*,Lamprolaima rhami,LAMRHA
Gartered Trogon,GATR,Trogon caligatus,TROCAL
Giant Cowbird,GICO,Molothrus oryzivorus,MOLORY
Giant Kingbird,GIKI,Tyrannus cubensis,TYRCUB
Giant Wren,GIWR,Campylorhynchus chiapensis,CAMCHI
Gila Woodpecker,GIWO,Melanerpes uropygialis,MELURO
Gilded Flicker,GIFL,Colaptes chrysoides,COLCHR
Glaucous Gull,GLGU,Larus hyperboreus,LARHYP
Glaucous-winged Gull,GWGU,Larus glaucescens,LARGLS*
Glossy Ibis,GLIB,Plegadis falcinellus,PLEFAL
Glow-throated Hummingbird,GLTH*,Selasphorus ardens,SELARD
Golden Eagle,GOEA,Aquila chrysaetos,AQUCHR
Golden Swallow,GOSW,Tachycineta euchrysea,TACEUC
Golden Vireo,GOVI,Vireo hypochryseus,VIRHYP
Golden-bellied Flycatcher,GBFL,Myiodynastes hemichrysus,MYIHEM
Golden-browed Chlorophonia,GBCH,Chlorophonia callophrys,CHLCAL
Golden-browed Warbler,GBWA,Basileuterus belli,BASBEL
Golden-cheeked Warbler,GCWA,Setophaga chrysoparia,SETCHR
Golden-cheeked Woodpecker,GCHW*,Melanerpes chrysogenys,MELCHG*
Golden-collared Manakin,GCMA,Manacus vitellinus,MANVIT
Golden-crowned Emerald,GCEM,Chlorostilbon auriceps,CHLAUR
Golden-crowned Flycatcher,GOCF*,Myiodynastes chrysocephalus,MYICHR
Golden-crowned Kinglet,GCKI,Regulus satrapa,REGSAT
Golden-crowned Spadebill,GCRS*,Platyrinchus coronatus,PLACOR
Golden-crowned Sparrow,GCSP,Zonotrichia atricapilla,ZONATR
Golden-crowned Warbler,GCRW*,Basileuterus culicivorus,BASCUL
Golden-fronted Greenlet,GFGR,Pachysylvia aurantiifrons,PACAUR
Golden-fronted Woodpecker,GFWO,Melanerpes aurifrons,MELAUR
Golden-green Woodpecker,GGWO,Piculus chrysochloros,PICCHR
Golden-headed Manakin,GHMA,Ceratopipra erythrocephala,CERERY
Golden-headed Quetzal,GHQU,Pharomachrus auriceps,PHAAUC*
Golden-hooded Tanager,GHOT*,Tangara larvata,TANLAR
Golden-naped Woodpecker,GNWO,Melanerpes chrysauchen,MELCHC*
Golden-olive Woodpecker,GOWO,Colaptes rubiginosus,COLRUB
Golden-winged Warbler,GWWA,Vermivora chrysoptera,VERCHR
Grace's Warbler,GRWA,Setophaga graciae,SETGRA
Grand Cayman Thrush,GCAT*,Turdus ravidus,TURRAV
Grasshopper Sparrow,GRSP,Ammodramus savannarum,AMMSAV
Grassland Yellow-Finch,GRYF,Sicalis luteola,SICLUT
Gray Bunting,GRBU,Emberiza variabilis,EMBVAR
Gray Catbird,GRCA,Dumetella carolinensis,DUMCAR
Gray Elaenia,GRAE*,Myiopagis caniceps,MYICAN
Gray Flycatcher,GRFL,Empidonax wrightii,EMPWRI
Gray Francolin,GRAF*,Francolinus pondicerianus,FRAPON
Gray Gull,GRGU,Leucophaeus modestus,LEUMOD
Gray Hawk,GRHA,Buteo plagiatus,BUTPLG*
Gray Heron,GRAH*,Ardea cinerea,ARDCIN
Gray Jay,GRAJ*,Perisoreus canadensis,PERCAN
Gray Kingbird,GRAK*,Tyrannus dominicensis,TYRDOM
Gray Nightjar,GRNI,Caprimulgus indicus,CAPIND
Gray Partridge,GRAP*,Perdix perdix,PERPER
Gray Silky-flycatcher,GRSF,Ptiliogonys cinereus,PTICIN
Gray Thrasher,GRAT*,Toxostoma cinereum,TOXCIN
Gray Trembler,GRTR,Cinclocerthia gutturalis,CINGUT
Gray Vireo,GRVI,Vireo vicinior,VIRVIC
Gray Wagtail,GRAW*,Motacilla cinerea,MOTCIN
Gray-and-gold Tanager,GAGT,Tangara palmeri,TANPAL
Gray-backed Tern,GBAT*,Onychoprion lunatus,ONYLUN
Gray-barred Wren,GBWR,Campylorhynchus megalopterus,CAMMEG
Gray-bellied Hawk,GBEH*,Accipiter poliogaster,ACCPOL
Gray-breasted Crake,GBCR,Laterallus exilis,LATEXI
Gray-breasted Martin,GYBM*,Progne chalybea,PROCHA
Gray-breasted Woodpecker,GBWO,Melanerpes hypopolius,MELHYI*
Gray-breasted Wood-Wren,GBWW,Henicorhina leucophrys,HENLEP*
Gray-capped Flycatcher,GCAF*,Myiozetetes granadensis,MYIGRA
Gray-cheeked Nunlet,GCNU,Nonnula frontalis,NONFRO
Gray-cheeked Thrush,GCTH,Catharus minimus,CATMIN
Gray-cheeked/Bicknell's Thrush,GCBT,Catharus minimus x bickn.,CATMIB
Gray-chested Dove,GCDO,Leptotila cassinii,LEPCAS
Gray-collared Becard,GCBE,Pachyramphus major,PACMAJ
Gray-cowled Wood-Rail,GCWR,Aramides cajaneus,ARACAJ
Gray-crowned Palm-Tanager,GCPT,Phaenicophilus poliocephalus,PHAPOL
Gray-crowned Rosy-Finch,GCRF,Leucosticte tephrocotis,LEUTEP
Gray-crowned Woodpecker,GRCW*,Colaptes auricularis,COLAUC*
Gray-crowned Yellowthroat,GCYE,Geothlypis poliocephala,GEOPOL
Gray-fronted Quail-Dove,GFQD,Geotrygon caniceps,GEOCAN
Gray-headed Chachalaca,GHEC*,Ortalis cinereiceps,ORTCIN
Gray-headed Chickadee,GHCH,Poecile cinctus,POECIN
Gray-headed Dove,GHDO,Leptotila plumbeiceps,LEPPLU
Gray-headed Junco,GHJU,Junco h. caniceps,JUNNCA
Gray-headed Kite,GHKI,Leptodon cayanensis,LEPCAY
Gray-headed Piprites,GHPI,Piprites griseiceps,PIPGRI
Gray-headed Tanager,GHET*,Eucometis penicillata,EUCPEN
Gray-hooded Gull,GHGU,Chroicocephalus cirrocephalus,CHRCIR
Grayish Saltator,GRAS*,Saltator coerulescens,SALCOE
Graylag Goose,GRGO,Anser anser,ANSANS
Gray-lined Hawk,GLHA,Buteo nitidus,BUTNIT
Gray-rumped Swift,GRSW,Chaetura cinereiventris,CHACIN
Gray-streaked Flycatcher,GSFL,Muscicapa griseisticta,MUSGRI
Gray-tailed Tattler,GTTA,Tringa brevipes,TRIBRE
Gray-throated Chat,GTCH,Granatellus sallaei,GRASAL
Gray-throated Leaftosser,GTLE,Sclerurus albigularis,SCLALB
Great Antshrike,GANT*,Taraba major,TARMAJ
Great Auk,GRAU,Pinguinus impennis,PINIMP
Great Black Hawk,GBLH*,Buteogallus urubitinga,BUTURU
Great Black-backed Gull,GBBG,Larus marinus,LARMAR
Great Blue Heron,GBHE,Ardea herodias,ARDHER
Great Cormorant,GRCO,Phalacrocorax carbo,PHACAR
Great Crested Flycatcher,GCFL,Myiarchus crinitus,MYICRI
Great Crested Tern,GCTE,Thalasseus bergii,THABER
Great Curassow,GRCU,Crax rubra,CRARUB
Great Egret,GREG,Ardea alba,ARDALB
Great Frigatebird,GREF*,Fregata minor,FREMIN
Great Gray Owl,GGOW,Strix nebulosa,STRNEB
Great Green Macaw,GGMA,Ara ambiguus,ARAAMB
Great Horned Owl,GHOW,Bubo virginianus,BUBVIR
Great Jacamar,GJAC*,Jacamerops aureus,JACAUR
Great Kiskadee,GKIS*,Pitangus sulphuratus,PITSUL
Great Knot,GRKN,Calidris tenuirostris,CALTEN
Great Lizard-Cuckoo,GRLC,Coccyzus merlini,COCMER
Great Potoo,GRPO,Nyctibius grandis,NYCGRA
Great Shearwater,GRSH,Ardenna gravis,ARDGRA
Great Skua,GRSK,Stercorarius skua,STESKU
Great Spotted Woodpecker,GSWO,Dendrocopos major,DENMAJ
Great Swallow-tailed Swift,GSTS,Panyptila sanctihieronymi,PANSAN
Great Tinamou,GRTI,Tinamus major,TINMAJ
Great White Heron,GWHE,Ardea h. occidentalis,ARDHOC
Greater Amakihi,GRAM,Viridonia sagittirostris,VIRSAG
Greater Ani,GRTA*,Crotophaga major,CROMAJ
Greater Antillean Bullfinch,GABU,Loxigilla violacea,LOXVIO
Greater Antillean Elaenia,GAEL,Elaenia fallax,ELAFAL
Greater Antillean Grackle,GAGR,Quiscalus niger,QUINIG
Greater Antillean Nightjar,GANI,Antrostomus cubanensis,ANTCUB
Greater Koa-Finch,GRKF,Rhodacanthis palmeri,RHOPAL
Greater Necklaced Laughingthrush,GNLA,Garrulax pectoralis,GARPEC
Greater Pewee,GRPE,Contopus pertinax,CONPER
Greater Prairie-Chicken,GRPC,Tympanuchus cupido,TYMCUP
Greater Roadrunner,GRRO,Geococcyx californianus,GEOCAL
Greater Sage-Grouse,GRSG,Centrocercus urophasianus,CENURO
Greater Sand-Plover,GSAP*,Charadrius leschenaultii,CHALES
Greater Scaup,GRSC,Aythya marila,AYTMAR
Greater Snow Goose Blue-morph,GSGB,Anser c. atlantica,ANSCAT
Greater Snow Goose Intermediate-morph,GSGI,Anser c. atlantica,ANSCAT
Greater Snow Goose White-morph,GSGW,Anser c. atlantica,ANSCAT
Greater White-fronted Goose,GWFG,Anser albifrons,ANSALB
Greater Yellowlegs,GRYE,Tringa melanoleuca,TRIMEL
Great-tailed Grackle,GTGR,Quiscalus mexicanus,QUIMEX
Great-winged Petrel,GWPE,Pterodroma macroptera,PTEMAC
